,GDX,GDX,GDX,GDX,GDX,GDX,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,XLE,XLE,XLE,XLE,XLE,XLE,XLF,XLF,XLF,XLF,XLF,XLF,XLI,XLI,XLI,XLI,XLI,XLI,XLP,XLP,XLP,XLP,XLP,XLP,XLU,XLU,XLU,XLU,XLU,XLU,XLV,XLV,XLV,XLV,XLV,XLV
,ATR,CCI,MACD_FAST_PERIOD,MACD_SIGNAL_PERIOD,MACD_SLOW_PERIOD,RSI,ATR,CCI,MACD_FAST_PERIOD,MACD_SIGNAL_PERIOD,MACD_SLOW_PERIOD,RSI,ATR,CCI,MACD_FAST_PERIOD,MACD_SIGNAL_PERIOD,MACD_SLOW_PERIOD,RSI,ATR,CCI,MACD_FAST_PERIOD,MACD_SIGNAL_PERIOD,MACD_SLOW_PERIOD,RSI,ATR,CCI,MACD_FAST_PERIOD,MACD_SIGNAL_PERIOD,MACD_SLOW_PERIOD,RSI,ATR,CCI,MACD_FAST_PERIOD,MACD_SIGNAL_PERIOD,MACD_SLOW_PERIOD,RSI,ATR,CCI,MACD_FAST_PERIOD,MACD_SIGNAL_PERIOD,MACD_SLOW_PERIOD,RSI,ATR,CCI,MACD_FAST_PERIOD,MACD_SIGNAL_PERIOD,MACD_SLOW_PERIOD,RSI
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-26,,138.16607424404356,,,,,,108.11387605792564,,,,,,118.48575161947674,,,,,,119.34737555766408,,,,,,-78.91124474993445,,,,,,121.36370270853604,,,,,,78.88880739465412,,,,,,11.66164097237043,,,,
2017-07-27,0.4297257898363644,128.09251675832988,,,,71.93550458892354,0.6877008964657431,88.05466387857864,,,,64.74825095114282,0.6514256946468652,127.82355095108728,,,,74.1444838715959,0.2139158786320685,21.546993850198373,,,,45.20568713262411,0.4482959619694193,-148.541935534286,,,,41.60016168310779,0.3095744530093053,164.38935140778838,,,,73.72265913783852,0.35468932183255475,93.78952955629964,,,,71.84980532859585,0.57787777292436,-45.34099200573641,,,,53.82865098106725
2017-07-28,0.42434926059705724,147.03107506143564,,,,74.90013866279426,0.6918996505834106,139.2317696984348,,,,69.00998843483175,0.6557352583196551,149.39162943721962,,,,72.94964160038965,0.21220779952883287,-7.527919761665284,,,,45.2056871326241,0.44433411160426434,-113.33153908599995,,,,45.3652710128765,0.3686005516312488,81.12421061280813,,,,62.227289674301275,0.3536480329778618,83.19902053773731,,,,70.22795363172422,0.5897314187345815,-42.75902195544759,,,,57.91212534238702
2017-07-31,0.4138826785749542,134.6747581365783,,,,73.66769318315534,0.6759747202172789,153.37601534743746,,,,68.757903319812,0.647446318696539,130.50096740706903,,,,73.80213092739963,0.21449905536595518,101.4862525584424,,,,52.060059504448986,0.44261280075642423,-76.07186328474468,,,,43.66009993217676,0.35849979727589576,85.85679300736075,,,,61.785923341965464,0.35511054988762286,94.99577589181408,,,,71.77200770835157,0.5699098226341894,-23.815147990283897,,,,56.96287023294831
2017-08-01,0.414427833165539,106.89442742998384,,,,72.89272803165375,0.6700738763462899,126.93271138708182,,,,67.69230783299831,0.6386318401260346,110.18414685717384,,,,73.63547394851004,0.212103184375187,148.42972756883924,,,,57.751745380732466,0.4488446176611512,-109.8930574354574,,,,40.056519946972045,0.35161691574831966,78.18860250121617,,,,60.40130965234546,0.3540397692093297,127.34586748134817,,,,74.17613920747786,0.5665902962568103,-53.1165757085109,,,,54.489052164175554
2017-08-02,0.4019327584748263,86.21618227393361,,,,71.27767161219236,0.6618603246752437,67.1629901228442,,,,63.58061955521684,0.6460900286824994,49.296848006601095,,,,69.4163482568711,0.2066469912570745,130.40966986664748,,,,58.91893662241362,0.4448435787202582,-80.9873128602704,,,,47.10841613700094,0.3477223013685698,23.885129212703987,,,,59.44523557030281,0.3694432162305888,130.22734081571795,,,,75.87267746358648,0.5562932573541869,-105.90279663642089,,,,52.05439387870295
