,GDX,GDX,GDX,GDX,GDX,GDX,GDX,GDX,GDX,GDX,GDX,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,XLE,XLE,XLE,XLE,XLE,XLE,XLE,XLE,XLE,XLE,XLE,XLF,XLF,XLF,XLF,XLF,XLF,XLF,XLF,XLF,XLF,XLF,XLI,XLI,XLI,XLI,XLI,XLI,XLI,XLI,XLI,XLI,XLI,XLP,XLP,XLP,XLP,XLP,XLP,XLP,XLP,XLP,XLP,XLP,XLU,XLU,XLU,XLU,XLU,XLU,XLU,XLU,XLU,XLU,XLU,XLV,XLV,XLV,XLV,XLV,XLV,XLV,XLV,XLV,XLV,XLV
,BB_LOWER,BB_MIDDLE,BB_UPPER,SIGNAL,close,dividends,high,low,open,stock splits,volume,BB_LOWER,BB_MIDDLE,BB_UPPER,SIGNAL,close,dividends,high,low,open,stock splits,volume,BB_LOWER,BB_MIDDLE,BB_UPPER,SIGNAL,close,dividends,high,low,open,stock splits,volume,BB_LOWER,BB_MIDDLE,BB_UPPER,SIGNAL,close,dividends,high,low,open,stock splits,volume,BB_LOWER,BB_MIDDLE,BB_UPPER,SIGNAL,close,dividends,high,low,open,stock splits,volume,BB_LOWER,BB_MIDDLE,BB_UPPER,SIGNAL,close,dividends,high,low,open,stock splits,volume,BB_LOWER,BB_MIDDLE,BB_UPPER,SIGNAL,close,dividends,high,low,open,stock splits,volume,BB_LOWER,BB_MIDDLE,BB_UPPER,SIGNAL,close,dividends,high,low,open,stock splits,volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17,26.543768691875773,27.93146734237671,29.319165992877647,0.0,27.786495208740234,0.0,28.138471113308277,27.669169285606795,28.10913916631684,0,43853800,37.286667138542875,39.60971393585205,41.932760733161224,0.0,39.46820068359375,0.0,40.03824340808594,39.20733698492819,39.86433181853505,0,9885200,51.742819759685105,52.58298950195312,53.42315924422114,0.0,51.87091064453125,0.0,52.37101896272832,51.78317363489935,52.34469852922922,0,11909100,28.942268627555816,29.20603199005127,29.469795352546722,0.0,29.447843551635746,0.0,29.514274103238435,29.333961313104854,29.447843551635746,0,38819400,77.51444323985044,79.32422714233398,81.13401104481753,0.0,81.0115966796875,0.0,81.39548653646374,80.90602477240513,81.0595792506697,0,7013400,58.10552905632395,58.95358753204346,59.80164600776296,-1.0,59.82362365722656,0.0,59.95485635604541,59.63614684070413,59.71113899764224,0,14902700,58.080887226889594,59.573270606994626,61.06565398709966,-1.0,61.60052108764648,0.0,61.68356214715288,60.99152515887571,61.1576143176528,0,13258800,96.80003737942978,98.53114128112793,100.26224518282608,-1.0,100.47406005859376,0.0,100.62791418707532,100.22405810406411,100.22405810406411,0,6533400
2020-01-21,26.742736621432556,28.012786674499512,29.28283672756647,0.0,28.30468368530273,0.0,28.32423645313502,27.57140174386828,27.630063777029964,0,48096900,37.63209093984075,39.74336967468262,41.854648409524486,0.0,40.134864807128906,0.0,40.14452492446616,39.04308726497282,39.22665897966806,0,14341900,51.488566202783346,52.54121627807617,53.593866353368995,1.0,50.94088745117188,0.0,51.59014936988985,50.85314709259346,51.58137700750824,0,17354600,28.95446011912607,29.21201095581055,29.469561792495025,0.0,29.201101303100582,0.0,29.438354316333257,29.201101303100582,29.305491398057107,0,41276500,77.74139608379468,79.44001922607421,81.13864236835374,0.0,80.11903381347656,0.0,80.87722135850423,79.76392766383094,80.64688599447341,0,13005000,58.06012699575679,59.01981334686279,59.97949969796879,-1.0,60.02984237670898,0.0,60.05796264477489,59.53302832733566,59.73925316201223,0,11300300,57.86407020735251,59.72187404632568,61.57967788529885,-1.0,62.16338348388672,0.0,62.19106383931872,61.48979766272702,61.738934941144734,0,23876500,96.82036967242973,98.68892326354981,100.55747685466989,-1.0,100.57982635498048,0.0,100.81060019643016,100.20481611156164,100.24327964116462,0,6644800
2020-01-22,27.093474846739245,28.105718040466307,29.11796123419337,0.0,28.197134017944336,0.0,28.34379002779041,28.01136874422873,28.25579604891629,0,21333700,38.260665682845925,39.90829563140869,41.55592557997146,0.0,40.1541862487793,0.0,40.24114204209059,39.72906739896379,40.07689057220895,0,6702900,51.05884069069755,52.450043487548825,53.8412462844001,1.0,50.449554443359375,0.0,50.87947385823152,50.309173208351616,50.84437771274142,0,14677700,28.965023595051083,29.220552158355712,29.47608072166034,0.0,29.286508560180664,0.0,29.36242944171316,29.24854721436612,29.295998896634305,0,27391000,77.92060529521825,79.51679840087891,81.11299150653957,0.0,79.6967544555664,0.0,80.52213086114409,79.63917243915913,80.33977804621439,0,7490500,58.00203936614136,59.06621341705322,60.13038746796508,0.0,60.07670211791992,0.0,60.21731059821925,60.02983739224973,60.04858185218893,0,8046500,57.67780421104331,59.859820175170896,62.04183613929848,-1.0,62.35714721679688,0.0,62.5324584648294,62.19105805987476,62.283328249328335,0,10841600,96.77615995752814,98.81846809387207,100.860776230216,0.0,100.704833984375,0.0,101.0413806959322,100.57020796358404,100.80098913965304,0,9431500
2020-01-23,27.234790501821145,28.149225997924805,29.063661494028466,0.0,28.02114486694336,0.0,28.45133742702721,27.95270552291844,28.021144866943363,0,41346600,38.51267341482987,39.977376747131345,41.44208007943282,0.0,39.60346603393555,0.0,40.39572826208931,39.477862406839776,39.7387297774261,0,10388800,50.64706684029748,52.32238426208496,53.99770168387244,1.0,50.25652694702149,0.0,50.41445624835394,49.53707272848582,49.923123619277405,0,13278000,28.985336787661883,29.228618621826172,29.47190045599046,0.0,29.21058654785156,0.0,29.27701709035877,28.935372231639967,29.134665669258112,0,43072300,77.98187156541321,79.60461502075195,81.22735847609069,0.0,80.5605239868164,0.0,80.66609590188725,79.30326044976263,79.59118518581592,0,10758500,57.983986716776805,59.12245597839355,60.2609252400103,0.0,60.02046585083008,0.0,60.179818802390415,59.65488806706465,59.87986093636315,0,14563100,57.53509961317972,60.0531286239624,62.571157634745084,-1.0,62.91077423095703,0.0,62.92922545260116,62.28332709859543,62.347916933996,0,12969300,96.78116009746296,98.90294609069824,101.02473208393351,0.0,100.1951904296875,0.0,100.67597350725065,99.50286896037736,100.53174445291576,0,8522600
2020-01-24,27.246494977646176,28.176601791381835,29.106708605117493,0.0,28.568660736083984,0.0,28.64687739361232,27.972259421742496,27.972259421742496,0,44497000,38.54803259184986,40.01409149169922,41.48015039154858,0.0,40.376407623291016,0.0,40.473023537729055,39.58414533078422,39.603469250804,0,14854500,50.15045658270531,52.16704959869385,54.18364261468239,1.0,49.67746353149414,0.0,50.25653663232642,49.29141591325701,50.02841834585747,0,20390600,28.921583651170724,29.214857864379884,29.508132077589043,1.0,28.84046936035156,0.0,29.22007554603428,28.66015841325836,29.22007554603428,0,58924900,78.13311718848807,79.68955268859864,81.2459881887092,0.0,80.18622589111328,0.0,80.78125960388749,79.5911848561089,80.71407814205071,0,13402200,57.99908197924533,59.15432720184326,60.309572424441185,0.0,59.6080207824707,0.0,60.142330909221904,59.42054398415025,60.06733875956472,0,11935100,57.450267315354345,60.250589752197264,63.05091218904018,-1.0,63.07686996459961,0.0,63.30754897791668,62.64319229320116,62.74469162224185,0,14401500,96.7942279308625,98.90997772216797,101.02572751347343,0.0,98.5220718383789,0.0,100.35866679925496,98.2720625725901,100.31058555485284,0,15962700
2020-01-27,27.246494977646176,28.176601791381835,29.106708605117493,0.0,28.43178367614746,0.0,28.99885494183717,28.265573036298807,28.979300310129723,0,38199300,38.536589493672366,39.9822078704834,41.42782624729443,0.0,39.91264724731445,0.0,40.87882119842742,39.564824035208005,40.86915739494605,0,13379400,49.33870718852397,51.943692207336426,54.54867722614888,1.0,48.29996490478516,0.0,48.87026556460555,48.23854832258329,48.67724010799815,0,21682500,28.710224079143327,29.170728969573975,29.631233860004624,1.0,28.394439697265625,0.0,28.527300800771307,28.233107581538675,28.27106893116703,0,50289300,78.13311718848807,79.68955268859864,81.2459881887092,0.0,78.66984558105469,0.0,79.19769789657568,78.66984558105469,78.75621861874264,0,15013800,58.01471700442176,59.17401237487793,60.3333077453341,0.0,59.42054748535156,0.0,59.70176091149078,59.06434190513645,59.1018379821744,0,8748400,57.44814879216015,60.435132789611814,63.42211678706348,0.0,62.92000961303711,0.0,63.48286696592047,62.74469131106089,63.03996016505177,0,11272200,96.72379545571056,98.88285217285156,101.04190888999256,0.0,97.77204895019533,0.0,98.14705917148572,97.19511071253064,97.32972939011349,0,11762300
2020-01-28,27.19469159333676,28.149225807189943,29.103760021043126,0.0,27.67894744873047,0.0,28.324235383640776,27.649617365673308,28.158024741931616,0,55735200,38.4017806902938,39.92665271759033,41.45152474488686,0.0,38.86917495727539,0.0,39.83534884242464,38.73391120306023,39.53583361119046,0,13775500,48.75965137137282,51.742376518249515,54.72510166512621,1.0,48.519309997558594,0.0,48.81762054060058,48.32628789108624,48.571954215843405,0,14300100,28.647923543771807,29.147003364562988,29.64608318535417,0.0,28.72658920288086,0.0,28.84995994723457,28.498826575545696,28.546276444121016,0,34257900,78.22331062537356,79.71834602355958,81.2133814217456,0.0,79.17849731445312,0.0,79.57199396729243,78.56426470894365,78.92896303026795,0,14918000,58.01746568464872,59.18432350158692,60.351181318525114,0.0,59.49553680419922,0.0,59.67363779790811,59.40179661607147,59.45804072894812,0,7899500,57.450146167618975,60.62382831573486,63.79751046385075,0.0,63.178367614746094,0.0,63.445956107854805,62.82773101837245,62.98459809348075,0,17528400,96.7144024981126,98.87833213806152,101.04226177801044,0.0,98.2528305053711,0.0,98.63745843653857,97.79127552073663,98.06052020787118,0,8079900
2020-01-29,27.215743245090408,28.118428039550782,29.021112834011156,0.0,28.21668815612793,0.0,28.2557955544808,27.60073031478752,27.669169660529278,0,37940100,38.421725345281686,39.87447948455811,41.32723362383453,0.0,39.8933219909668,0.0,39.94162994977358,38.75323647195403,38.878840113380456,0,14067100,48.14604581955406,51.52390842437744,54.901771029200816,1.0,48.01043319702149,0.0,48.96678148545619,47.94901661081537,48.79130409045889,0,13745400,28.58595634463059,29.12517614364624,29.66439594266189,0.0,28.679140090942383,0.0,28.92588341182936,28.631690218120383,28.821493329601637,0,41167500,78.45194512127387,79.78648796081544,81.121030800357,0.0,79.60078430175781,0.0,80.20541745830313,79.51440395240553,79.97508206374732,0,10355100,58.032019038435976,59.19510364532471,60.35818825221344,0.0,59.19557571411133,0.0,59.58927377917632,59.19557571411133,59.54240547273848,0,8300800,57.490408439198305,60.821289443969725,64.15217044874115,0.0,63.34445571899414,0.0,63.43672591236832,62.96613877446615,63.21527604031738,0,10799800,96.74771650428734,98.88987007141114,101.03202363853494,0.0,97.9835968017578,0.0,98.69515373239577,97.96436136959124,98.34898931507612,0,6435700
2020-01-30,27.219578313575735,28.091541004180907,28.96350369478608,0.0,28.08958625793457,0.0,28.43178486782841,27.962484876173523,28.25579690474973,0,39866800,38.43384108382328,39.8194076538086,41.20497422379391,0.0,39.72906875610352,0.0,40.22181949692002,39.53583324373746,40.03824410162488,0,11850900,47.71589283238578,51.30982666015625,54.90376048792672,0.0,48.39647674560547,0.0,48.44912096379285,47.387484318872886,47.51032082797677,0,24430500,28.57768584107251,29.116635036468505,29.655584231864502,0.0,29.039764404296875,0.0,29.058745076656173,28.403926361032685,28.422907033391983,0,51210000,78.7429615610321,79.8613468170166,80.97973207300109,0.0,79.68714141845703,0.0,79.77352175056252,78.66982025024402,78.83297415038598,0,13158200,58.038530692589084,59.238223266601565,60.437915840614046,0.0,59.89860534667969,0.0,59.94547364866418,59.18619428355528,59.22369035547177,0,13824800,57.49240470190468,61.03674392700195,64.58108315209923,0.0,63.935001373291016,0.0,63.97191086319407,63.15069407220612,63.30755412447002,0,14404300,96.6360198618959,98.85621490478516,101.07640994767442,0.0,97.27203369140624,0.0,97.32972531190508,96.43546851333636,97.26241597593398,0,10989400
2020-01-31,27.238006412999933,28.073942279815675,28.909878146631417,0.0,28.34379005432129,0.0,28.58821735923765,28.118917381358,28.1580247804318,0,41986200,38.484307593485696,39.77834529876709,41.07238300404849,0.0,40.134864807128906,0.0,40.50200823651939,39.82568945308379,39.87399741109191,0,14003600,47.0271043085319,50.9966007232666,54.96609713800131,1.0,46.88737106323242,0.0,47.71211366059714,46.64170476458878,47.58050480235102,0,33430500,28.476864692904943,29.063490390777588,29.650116088650233,1.0,28.432395935058597,0.0,28.83098100938636,28.32800585589657,28.79302147426287,0,58958800,78.34762592851395,79.77017059326172,81.1927152580095,1.0,77.84444427490234,0.0,79.37042603289568,77.54692747680448,79.25526201929844,0,19083600,58.11127709915137,59.2710319519043,60.430786804657224,0.0,59.22369766235352,0.0,60.18919839047988,59.05496889373417,59.926733006326536,0,15280000,57.70204408377212,61.275266075134276,64.84848806649643,0.0,63.64896011352539,0.0,64.07340867767459,63.31678175205814,63.815049294259005,0,20474500,96.02006182398351,98.71246109008788,101.40486035619226,1.0,95.32968139648438,0.0,96.96434115489308,95.01236276012794,96.88742142718704,0,14476700
